ds,product_id,customer_state,n_orders,qty,cancel_qty,revenue,avg_price,avg_freight,n_sellers,pay_total_avg,inst_avg,inst_max,share_credit_card,share_boleto,share_voucher,share_debit_card,dow,month,week_of_year,qty_lag_1,qty_lag_7,qty_lag_14,qty_lag_28,qty_roll_mean_7,qty_roll_mean_28,cancel_lag_1,cancel_lag_7,cancel_lag_14
2016-09-04,c1488892604e4ba5cff5b4eb4d595400,RR,1,1,0,71.66,39.99,31.67,1,136.23,1.0,1.0,1.0,0.0,0.0,0.0,0,9,35,,,,,1.0,1.0,,,
2016-09-04,f293394c72c9b5fafd7023301fc21fc2,RR,1,1,0,64.57,32.9,31.67,1,136.23,1.0,1.0,1.0,0.0,0.0,0.0,0,9,35,,,,,1.0,1.0,,,
2016-09-05,f3c2d01a84c947b078e32bbef0718962,RS,1,1,1,75.06,59.5,15.56,1,75.06,3.0,3.0,1.0,0.0,0.0,0.0,1,9,36,,,,,1.0,1.0,,,
2016-09-15,5a6b04657a4c5ee34285d1e4619a96b4,SP,1,3,0,143.46,44.99,2.83,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,9,37,,,,,3.0,3.0,,,
2016-10-02,d2998d7ced12f83f9b832f33cf6507b6,SP,1,1,1,109.34,100.0,9.34,1,109.34,1.0,1.0,1.0,0.0,0.0,0.0,0,10,39,,,,,1.0,1.0,,,
2016-10-03,107177bf61755f05c604fe57e02467d6,SP,1,1,0,133.46,119.9,13.56,1,133.46,6.0,6.0,1.0,0.0,0.0,0.0,1,10,40,,,,,1.0,1.0,,,
2016-10-03,3ae08df6bcbfe23586dd431c40bddbb7,SP,1,1,0,45.46,29.9,15.56,1,45.46,1.0,1.0,0.0,1.0,0.0,0.0,1,10,40,,,,,1.0,1.0,,,
2016-10-03,9c7bdf67b06b419aefb93cfdfc96c55d,RJ,1,1,1,35.61,21.5,14.11,1,35.61,1.0,1.0,1.0,0.0,0.0,0.0,1,10,40,,,,,1.0,1.0,,,
2016-10-03,a5c3ddb1a400f50d1cf7138727aec136,GO,1,1,0,154.57,128.9,25.67,1,154.57,2.0,2.0,1.0,0.0,0.0,0.0,1,10,40,,,,,1.0,1.0,,,
2016-10-03,b72b39418216e944bb34e35f4d3ea8c7,RS,1,1,0,53.730000000000004,36.49,17.24,1,53.73,1.0,1.0,0.0,1.0,0.0,0.0,1,10,40,,,,,1.0,1.0,,,
2016-10-03,bfce5e847034e1fbbc1ed0bff6a372c7,MG,1,1,0,92.27000000000001,74.9,17.37,1,92.27,3.0,3.0,1.0,0.0,0.0,0.0,1,10,40,,,,,1.0,1.0,,,
2016-10-03,e2a1d45a73dc7f5a7f9236b043431b89,SP,1,1,0,40.95,29.99,10.96,1,40.95,4.0,4.0,1.0,0.0,0.0,0.0,1,10,40,,,,,1.0,1.0,,,
2016-10-03,fd7fd78fd3cbc1b0a6370a7909c0a629,RS,1,1,0,39.09,21.9,17.19,1,39.09,1.0,1.0,0.0,1.0,0.0,0.0,1,10,40,,,,,1.0,1.0,,,
2016-10-04,062619359d5f9a664606cb2a6ccb477a,MG,1,1,0,154.29000000000002,136.9,17.39,1,154.29,8.0,8.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,0c5801458e74f9b6c23b44c331426e30,RJ,1,1,0,107.41000000000001,89.9,17.51,1,107.41,1.0,1.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,0f3c8906e5b08127d539956bc587074c,MG,1,1,0,173.4,149.99,23.41,1,173.4,1.0,1.0,0.0,1.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,112dad9870ca76046f327b9c08f00b29,SP,1,1,1,142.34,129.9,12.44,1,142.34,3.0,3.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,201ec8e4fb8456dd06265be68eb419a7,RJ,1,2,0,149.46,59.9,14.83,1,149.46,7.0,7.0,1.0,0.0,0.0,0.0,2,10,40,,,,,2.0,2.0,,,
2016-10-04,2235d08138bfce7801a73463a3168ea5,PE,1,1,0,177.28,149.9,27.38,1,177.28,1.0,1.0,0.0,1.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,27051f70cfcbd63fec388f34e1f0d2a2,SP,2,3,0,507.69000000000005,149.9,19.33,1,282.05,8.333333333333334,10.0,1.0,0.0,0.0,0.0,2,10,40,,,,,3.0,3.0,,,
2016-10-04,29bedbfbe73ea473396306b4f0c010ec,SP,2,2,0,232.63,89.9,26.415,1,116.315,3.5,6.0,1.0,0.0,0.0,0.0,2,10,40,,,,,2.0,2.0,,,
2016-10-04,33430c5c1027d812b5c62f778e5ee7f7,SP,1,1,0,44.230000000000004,32.49,11.74,1,44.23,2.0,2.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,3410cbd7df2130ec3cb9300ef0fe3df1,SP,1,1,0,82.69,71.0,11.69,1,82.69,1.0,1.0,0.0,1.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,35084deab9603bbb6035bb8638b1df89,RJ,1,1,0,111.51,93.9,17.61,1,111.51,4.0,4.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,35bd74b6319ba18ae4f30d8b54144fd2,PR,1,1,0,53.3,39.9,13.4,1,108.84,1.0,1.0,0.0,1.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,39731b928af43b0f49dd60d4706e403f,RJ,1,1,0,659.41,599.0,60.41,1,659.41,1.0,1.0,0.0,1.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,3c37a8a5d5ef2eca9d5e6ccf39673031,MG,1,1,0,217.3,199.99,17.31,1,217.3,3.0,3.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,3cacd5299c846cb08ae1e445fd78392b,RJ,1,1,0,72.50999999999999,57.9,14.61,1,72.51,1.0,1.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,3d37da85f5e66558333fb5daee494736,MG,1,1,0,89.38000000000001,69.9,19.48,1,89.38,4.0,4.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,3ff81cd0e0861e991bb0106c03c113ca,MG,1,1,0,398.12,379.9,18.22,1,398.12,10.0,10.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,43bb8825dd6838251606e5e4130cfff4,MT,1,2,0,101.44,23.9,26.82,1,101.44,10.0,10.0,1.0,0.0,0.0,0.0,2,10,40,,,,,2.0,2.0,,,
2016-10-04,44377a26f7c80dbf0a9b2b300604e6bf,ES,1,1,0,119.43,99.9,19.53,1,119.43,1.0,1.0,0.0,1.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,44377a26f7c80dbf0a9b2b300604e6bf,SP,1,1,0,116.17,99.9,16.27,1,116.17,1.0,1.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,473795a355d29305c3ea6b156833adf5,SP,2,2,0,149.51999999999998,59.9,14.86,1,74.76,2.0,2.0,1.0,0.0,0.0,0.0,2,10,40,,,,,2.0,2.0,,,
2016-10-04,48a12f318432c4b6a1fdfd5d79372e66,PR,1,1,0,95.81,79.9,15.91,1,383.24,3.0,3.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,4c7d4a2efde21e3bf1660926fabc6a9d,SP,1,1,0,65.77,57.0,8.77,1,65.77,1.0,1.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,4e0946aebc8e1d7521219ec1e7380aed,SP,1,1,0,144.94,128.9,16.04,1,144.94,3.0,3.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,4fee671ea459ebc96546523917e254a5,RJ,1,1,0,979.91,949.99,29.92,1,979.91,10.0,10.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,4fee671ea459ebc96546523917e254a5,RS,1,1,0,982.41,949.99,32.42,1,982.41,6.0,6.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,5691a536d459e5cb326b7bedce928067,MG,1,1,0,319.0,299.99,19.01,1,319.0,10.0,10.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,583916a5dae918f5e89baec139141c54,SP,1,1,0,65.5,49.99,15.51,1,65.5,1.0,1.0,0.0,0.0,0.0,1.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,66e08854f9319c6aa4874ca435598331,PR,1,1,0,95.81,79.9,15.91,1,383.24,3.0,3.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,79938780eb7ffb7289f59a9a283bc06b,SC,1,1,0,74.77,59.9,14.87,1,149.54,7.0,7.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,79bcd1f7f00535c801244eb999d8d290,SC,1,1,0,214.98,199.0,15.98,1,214.98,7.0,7.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,7cd29da0653abeb444703cc5a957f479,SP,1,1,0,65.46,49.9,15.56,1,65.46,1.0,1.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,817e1c2d22418c36386406ccacfa53e8,PA,1,1,0,237.45,189.0,48.45,1,237.45,4.0,4.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,85b99d83c60cab5b4d8f927ad35212a1,RJ,1,1,0,86.88000000000001,67.9,18.98,1,86.88,1.0,1.0,0.0,0.0,1.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,8adc1d29aa4fd4d758a91ef997c8a0a2,RJ,1,2,0,163.20000000000002,64.9,16.7,1,163.2,5.0,5.0,1.0,0.0,0.0,0.0,2,10,40,,,,,2.0,2.0,,,
2016-10-04,8f1e43e0e3374ed8c84df748034d6179,SC,1,1,0,74.77,59.9,14.87,1,149.54,7.0,7.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,9e93b2c4cb5eea05e75a481c129b104d,SP,1,1,0,18.62,9.9,8.72,1,18.62,1.0,1.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,ad5396bf96af6ede77130e54ad266c61,MG,1,1,0,40.150000000000006,22.37,17.78,1,40.15,1.0,1.0,0.0,1.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,b4b1c13bd539cdda68bd9a5e899767fb,RS,1,1,1,252.19,239.9,12.29,1,252.19,6.0,6.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,b560b8ea76437c088ea9a83c49316fb5,MG,1,1,0,60.599999999999994,44.9,15.7,1,60.6,2.0,2.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,b6f134ff2933bb0ee1f36e2865f21a91,SP,1,1,0,161.24,139.9,21.34,1,161.24,2.0,3.0,0.5,0.0,0.5,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,b73f6899a58fe7a37e55149e9a11c717,SP,1,1,0,115.22,86.99,28.23,1,115.22,5.0,5.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,b846c1b90a30689a98f530aa20edd424,RJ,1,1,0,447.49,399.0,48.49,1,447.49,3.0,3.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,bd701724b9bc9f955e22db8ec65b5097,MG,1,1,0,34.42,19.9,14.52,1,34.42,3.0,3.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,c1488892604e4ba5cff5b4eb4d595400,RS,1,1,0,62.33,39.99,22.34,1,62.33,1.0,1.0,0.0,1.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,c3b7e4d83e530c27a8e6368296aece48,RN,1,1,0,178.11,148.0,30.11,1,178.11,4.0,4.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,c3b8f6be3507bb05fd83797f81f679bc,BA,1,1,0,40.79,19.99,20.8,1,40.79,1.0,1.0,0.0,1.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,d48e56be99464cbf285a9da17f618165,PR,1,1,0,95.81,79.9,15.91,1,383.24,3.0,3.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,d6f3bd7b1fc04fb1a2effb51ae44ab17,SP,1,1,0,202.77,189.9,12.87,1,202.77,10.0,10.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,dc82d7e8f99966cb4c641f7ea5590eaf,PR,1,1,0,55.54,39.9,15.64,1,108.84,1.0,1.0,0.0,1.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,e08d86e1c599e2373d95380ac9a3ccc8,SP,1,1,0,196.27,179.9,16.37,1,196.27,9.0,9.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,e095c986136fd680308f08bc98f20a53,PA,1,1,0,121.00999999999999,89.0,32.01,1,121.01,1.0,1.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,e1ed3c28e40cbce2783e79eea79e8701,SP,1,1,0,61.64,49.9,11.74,1,61.64,2.0,2.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,e7ffaa35a5caaca3366f5cc5705b5fb2,PR,1,1,0,66.68,49.9,16.78,1,66.68,1.0,1.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,eba7488e1c67729f045ab43fac426f2e,CE,1,1,0,277.81,249.9,27.91,1,277.81,4.0,4.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,eba7488e1c67729f045ab43fac426f2e,MG,1,1,0,267.49,249.9,17.59,1,267.49,10.0,10.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,eba7488e1c67729f045ab43fac426f2e,RJ,1,1,0,263.93,249.9,14.03,1,263.93,2.0,2.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,eba7488e1c67729f045ab43fac426f2e,SP,1,1,0,267.49,249.9,17.59,1,267.49,4.0,4.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,ecf23a6c1689e2bed38171ececac6138,SP,1,1,0,121.13000000000001,109.9,11.23,1,121.13,6.0,6.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
2016-10-04,f422d0d9f8b5f7c27289382b14b61248,SP,1,1,0,87.57,69.99,17.58,1,87.57,7.0,7.0,1.0,0.0,0.0,0.0,2,10,40,,,,,1.0,1.0,,,
